Name,Transliteration,Meaning,Language
దీప,Dīpa,Lamp,Telugu
ఈశ్వర్,Īśvar,God,Telugu
జ్యోతి,Jyōti,Light,Telugu
కిరణ్,Kiran,Ray,Telugu
లక్ష్మణ,Lakṣhmaṇa,Brother of Lord Rama,Telugu
మణి,Maṇi,Gem,Telugu
నిఖిత,Nikhita,Sharp,Telugu
อาทิตย์,Arthit,Sun,Thai
บุษบา,Busaba,Flower,Thai
จันทร์,Chan,Moon,Thai
ดารา,Dara,Star,Thai
เอกราช,Ekachai,Independence,Thai
ฟ้า,Fah,Sky,Thai
กฤษณา,Kritsana,Perfume,Thai
ลาภ,Lab,Fortune,Thai
มณี,Manee,Gem,Thai
นิศาชล,Nisachol,Night river,Thai
ปภาวี,Paphawi,Light,Thai
ราชา,Racha,King,Thai
สุวรรณ,Suwanna,Gold,Thai
ทอง,Thong,Gold,Thai
วารี,Waree,Water,Thai
ยอด,Yod,"Top, best",Thai
อัครเดช,Akradech,Great power,Thai
บุญ,Boon,Merit,Thai
ชาติชาย,Chatichai,Patriot,Thai
ดวง,Duang,Luck,Thai
ฟอง,Fong,Bubble,Thai
กฤษณะ,Kritsana,Lord Krishna,Thai
ลักษณ์,Lak,Characteristic,Thai
มโน,Mano,Mind,Thai
นิรันดร์,Nirand,Eternal,Thai
ปราณี,Pranee,Gentle,Thai
รุ่ง,Rung,Rising,Thai
สุกัญญา,Sukanya,Beautiful lady,Thai
เทพ,Thep,Angel,Thai
วิจิตร,Vichit,Exquisite,Thai
ยศ,Yos,Honor,Thai
อุทัย,Uthai,Rising sun,Thai
บัว,Bua,Lotus,Thai
จารึก,Charoen,Inscription,Thai
ดำรง,Damrong,Support,Thai
ฟื้น,Fuen,Revive,Thai
กวิน,Kawin,Great,Thai
ลลิตา,Lalita,Graceful,Thai
มหิศร,Mahison,Great king,Thai
นิกร,Nikon,Crowd,Thai
ปรีชา,Preecha,Wisdom,Thai
รัตน์,Rat,Gem,Thai
สุชาติ,Suchart,Good breed,Thai
ทิวา,Tiwa,Daylight,Thai
วิภา,Wipa,Radiant,Thai
ยอดรัก,Yodrak,Top love,Thai
อมร,Amorn,Immortal,Thai
บัณฑิต,Bandit,Scholar,Thai
จิตติมา,Jittima,Supreme mind,Thai
ดำรงค์,Damrong,Sustain,Thai
ฟ้าใส,Fahsai,Clear sky,Thai
กวี,Kawi,Poet,Thai
ลดาวัลย์,Ladawan,Delicate flower,Thai
มงคล,Mongkon,Auspicious,Thai
นิภาพร,Nipaporn,Perfect,Thai
ประภัสสร,Praphatson,Shining,Thai
รุจิรา,Ruchira,Beautiful,Thai
สุพัตรา,Supattra,Gentle,Thai
ทิพย์,Tip,Heavenly,Thai
วรางคณา,Warangkana,Graceful woman,Thai
ยอดขวัญ,Yodkwan,Top spirit,Thai
อภิชาติ,Apichat,Superior,Thai
บัวชมพู,Buachompoo,Pink lotus,Thai
จิตติ,Jitti,Intellect,Thai
ดวงพร,Duangporn,Blessed,Thai
ฟ้าหลวง,Fahluang,Royal sky,Thai
กัลยา,Kanya,Lady,Thai
ลลนา,Lalana,Graceful,Thai
มหรรณพ,Mahanop,Ocean,Thai
นิธิศ,Nitish,Treasure,Thai
ประจักษ์,Prachak,Evident,Thai
รุ่งเรือง,Rungreung,Prosperous,Thai
สุจิตรา,Suchitra,Beautiful,Thai
ทิพย์วรรณ,Tipwan,Heavenly light,Thai
วิชชา,Wicha,Knowledge,Thai
ยอดมงคล,Yodmongkol,Top auspicious,Thai
อนุชา,Anucha,Younger brother,Thai
บุบผา,Buppa,Flower,Thai
จิตรลดา,Jitlada,Supreme intellect,Thai
ดุษฎี,Dutsadi,Honor,Thai
เฟื่อง,Fuang,Flourish,Thai
กุสุมา,Kusuma,Flower,Thai
ละออง,Laong,Dew,Thai
มัณฑนา,Mandana,Adornment,Thai
นพดล,Nopadol,Nine gems,Thai
ปรานี,Pranee,Kindness,Thai
รุ่งฤดี,Rungrawee,Prosperous,Thai
สุธี,Suthee,Gentle,Thai
ทิพย์วรรณ,Tipwanna,Heavenly light,Thai
วิริยะ,Wiriyah,Diligence,Thai
ยอดเพชร,Yodpetch,Top diamond,Thai
อารยา,Araya,Noble,Thai
บุณยกร,Bunyakorn,Auspicious,Thai
จันทนา,Chantana,Moonlight,Thai
เด่น,Den,Prominent,Thai
เฟื่องฟู,Feungfoo,Flourishing,Thai
กัลยา,Kalaya,Gentlewoman,Thai
ลดาวัลย์,Ladawan,Delicate flower,Thai
มาลี,Mali,Jasmine,Thai
นพเก้า,Nopakao,Nine treasures,Thai
ประทุม,Prathum,Lotus,Thai
รังสิมา,Rangsima,Queen,Thai
สุดา,Suda,Pure,Thai
ธีระ,Teera,Wise,Thai
วิรินทร์,Virin,Sapphire,Thai
ยอดกล้า,Yodkla,Top courage,Thai
อร,On,Beautiful woman,Thai
บุณฑริก,Buntarik,Lotus,Thai
จริยา,Jariya,Conduct,Thai
ดวงเดือน,Duangduen,Moon,Thai
ฟ้าใส,Fahsai,Clear sky,Thai
กนก,Kanok,Gold,Thai
ลักษมี,Laksamee,Goddess of wealth,Thai
มานะ,Mana,Perseverance,Thai
นพเก้า,Noppakao,Nine treasures,Thai
ประกาย,Prakai,Bright,Thai
รุจิรา,Ruchira,Beautiful,Thai
สุดารัตน์,Sudarat,Pure gold,Thai
ทิพยเทพ,Tippayatep,Heavenly deity,Thai
วิมล,Wimol,Pure,Thai
ยอดแสง,Yodsaeng,Top light,Thai
อรัญญา,Aranya,Forest,Thai
บุญญาภา,Bunyapa,Radiance of merit,Thai
จิตรา,Chitra,Brilliant,Thai
เด่นชัย,Denchai,Prominent victory,Thai
เฟื่องขวัญ,Feungkwan,Flourishing spirit,Thai
กันยา,Kanya,Lady,Thai
ลภัส,Lapas,Delicate,Thai
มาลินี,Malinee,Garland of flowers,Thai
นรินทร์,Narin,Prince,Thai
ประภัสสร,Praphassorn,Shining,Thai
รัตนา,Ratana,Precious gem,Thai
สมบูรณ์,Sombun,Perfect,Thai
ทิพย์ประภา,Tippapra,Heavenly light,Thai
วิชญา,Wichaya,Intelligence,Thai
Adem,,"Adam, man",Turkish
Bahar,,Spring,Turkish
Ceylan,,Gazelle,Turkish
Deniz,,Sea,Turkish
Eren,,"Saint, holy person",Turkish
Ferhat,,Joyful,Turkish
Gökhan,,Sky lord,Turkish
Hakan,,"Ruler, king",Turkish
Işık,,Light,Turkish
Jale,,Dew,Turkish
Kemal,,Perfection,Turkish
Leyla,,"Night, dark beauty",Turkish
Melis,,Honey,Turkish
Nisan,,April,Turkish
Orhan,,Great leader,Turkish
Pınar,,"Spring, fountain",Turkish
Rüzgar,,Wind,Turkish
Sevgi,,Love,Turkish
Tufan,,Storm,Turkish
Umut,,Hope,Turkish
Volkan,,Volcano,Turkish
Yağmur,,Rain,Turkish
Zeynep,,Precious gem,Turkish
Aslan,,Lion,Turkish
Beril,,Beryl (a precious stone),Turkish
Cem,,Gather,Turkish
Derya,,"Ocean, sea",Turkish
Elif,,"Slim, tall",Turkish
Fikret,,"Thought, idea",Turkish
Gül,,Rose,Turkish
Halil,,"Friend, companion",Turkish
Ilkay,,New moon,Turkish
Jülide,,Curly-haired,Turkish
Kader,,Destiny,Turkish
Lale,,Tulip,Turkish
Melek,,Angel,Turkish
Nehir,,River,Turkish
Onur,,Honor,Turkish
Pelin,,Wormwood (a plant),Turkish
Rıza,,Consent,Turkish
Sema,,Sky,Turkish
Taner,,Born at dawn,Turkish
Uğur,,Luck,Turkish
Vural,,Fighter,Turkish
Yıldız,,Star,Turkish
Zeki,,Intelligent,Turkish
Ayşe,,Alive,Turkish
Baran,,Rain,Turkish
Cihan,,World,Turkish
Dilan,,Heartbeat,Turkish
Emine,,"Trustworthy, honest",Turkish
Fazıl,,Virtuous,Turkish
Güneş,,Sun,Turkish
Haydar,,Brave,Turkish
İpek,,Silk,Turkish
Jiyan,,Life,Turkish
Kıvanç,,Pride,Turkish
Mert,,"Brave, manly",Turkish
Nermin,,"Soft, delicate",Turkish
Oya,,Lace,Turkish
Reyhan,,Sweet basil,Turkish
Selin,,Strong wind,Turkish
Tunç,,Bronze,Turkish
Ulaş,,To reach,Turkish
Veysel,,"Poor, humble",Turkish
Yasin,,Wealthy,Turkish
Züleyha,,"Beautiful, brilliant",Turkish
Aylin,,Moonlight,Turkish
Buse,,Kiss,Turkish
Can,,"Life, soul",Turkish
Defne,,Laurel,Turkish
Ece,,Queen,Turkish
Filiz,,Blossom,Turkish
Gülşah,,Beautiful like a rose,Turkish
Harun,,Warrior lion,Turkish
Işıl,,Radiant,Turkish
Jale,,Dewdrop,Turkish
Kerem,,Nobleness,Turkish
Leman,,Shining,Turkish
Merve,,A type of herb,Turkish
Nur,,Light,Turkish
Özge,,"Unique, different",Turkish
Poyraz,,North wind,Turkish
Sibel,,Cereal spike,Turkish
Tarkan,,Hero,Turkish
Ufuk,,Horizon,Turkish
Vildan,,Newborn,Turkish
Yeliz,,Beautiful,Turkish
Zümra,,A type of precious stone,Turkish
Arda,,River,Turkish
Burak,,"Light, flash",Turkish
Cansu,,Living water,Turkish
Ebru,,Marbling art,Turkish
Fırat,,Euphrates River,Turkish
Gülten,,Rose skin,Turkish
Hira,,Sacred mountain,Turkish
İsmail,,Heard by God,Turkish
Kamuran,,Happy,Turkish
Levent,,Good-looking man,Turkish
Mete,,Brave warrior,Turkish
Nigar,,Beloved,Turkish
Oktay,,"Brave, valiant",Turkish
Savaş,,War,Turkish
Toprak,,"Earth, soil",Turkish
Uğur,,Good luck,Turkish
Vedat,,Friendship,Turkish
Yücel,,"To rise, exalt",Turkish
Zerrin,,"Golden, golden-skinned",Turkish
Aydın,,Enlightened,Turkish
Bülent,,Tall,Turkish
Cenk,,Battle,Turkish
Eylül,,September,Turkish
Gülay,,Moon and rose,Turkish
Hilal,,Crescent moon,Turkish
İnci,,Pearl,Turkish
Kadir,,"Powerful, precious",Turkish
Meltem,,Light breeze,Turkish
Necla,,"Noble, respected",Turkish
Ozan,,"Bard, minstrel",Turkish
Rukiye,,Ascension,Turkish
Suna,,"Graceful, elegant",Turkish
Tülay,,Light like a moon,Turkish
Uğurcan,,Lucky soul,Turkish
Veysel,,"Poor, humble",Turkish
Yalçın,,"Steep, rough",Turkish
Zeynep,,Precious stone,Turkish
Arif,,"Wise, knowledgeable",Turkish
Beyza,,"Pure, white",Turkish
Ceren,,Gazelle,Turkish
Demet,,Bundle,Turkish
Elvan,,Colors,Turkish
Funda,,Heath (a plant),Turkish
Gülden,,Like a rose,Turkish
İbrahim,,Father of many,Turkish
Kadriye,,"Honor, respect",Turkish
Melike,,Queen,Turkish
Nurgül,,Light of the rose,Turkish
Orkun,,Heroic ruler,Turkish
Rabia,,Fourth,Turkish
Suat,,Good fortune,Turkish
Tamer,,"Iron, strong",Turkish
Ünal,,"Be famous, renowned",Turkish
Yasemin,,Jasmine,Turkish
Zekiye,,Intelligent,Turkish
Amukelani,,Acceptance,Tsonga
Basani,,"Work, labor",Tsonga
Bonga,,Thank,Tsonga
Dzunisani,,Rejoice,Tsonga
Esrom,,Powerful,Tsonga
Fikile,,Arrived,Tsonga
Giyani,,Grow,Tsonga
Hlayiseka,,Be careful,Tsonga
Hungani,,Sacrifice,Tsonga
Inghamulelo,,Forgiveness,Tsonga
Jabulani,,Rejoice,Tsonga
Khensani,,Give thanks,Tsonga
Lwandle,,Sea,Tsonga
Mahle,,Beautiful,Tsonga
Nkateko,,Blessing,Tsonga
Ntsako,,Happiness,Tsonga
Phindulo,,Answer,Tsonga
Risimati,,Wisdom,Tsonga
Sasekani,,Be happy,Tsonga
Ta vuma,,Agree,Tsonga
Thandaza,,Pray,Tsonga
Vutomi,,Life,Tsonga
Xitshembiso,,Promise,Tsonga
Yvonne,,Archer,Tsonga
Zanele,,They are enough,Tsonga
Anzani,,Let them grow,Tsonga
Bulo,,Grace,Tsonga
Dakalo,,Joy,Tsonga
Ekurhuleni,,Place of peace,Tsonga
Fikani,,Arrived,Tsonga
Hosi,,Chief,Tsonga
Hlengiwe,,Redeemed,Tsonga
Imani,,Faith,Tsonga
Kanyisa,,Light up,Tsonga
Langutani,,Observe,Tsonga
Matimba,,Power,Tsonga
Nhlamulo,,Victory,Tsonga
Rirhandzu,,Love,Tsonga
Sasekani,,Be happy,Tsonga
Talani,,Give,Tsonga
Thandeka,,Loved one,Tsonga
Vutomi,,Life,Tsonga
Xihlovo,,Wealth,Tsonga
Amukele,,Accept,Tsonga
Byala,,Beer,Tsonga
Chavalala,,Rest,Tsonga
Dzunisani,,Rejoice,Tsonga
Eseng,,Peaceful,Tsonga
Hanyani,,Be alive,Tsonga
Hitekani,,Be useful,Tsonga
Julani,,Be blessed,Tsonga
Khanyisile,,Light bearer,Tsonga
Lungi,,Be kind,Tsonga
Mpho,,Gift,Tsonga
Nhlanhla,,Fortune,Tsonga
Phumza,,Rest,Tsonga
Rifuwo,,Wealth,Tsonga
Sikelela,,Bless,Tsonga
Themba,,Hope,Tsonga
Vunene,,Goodness,Tsonga
Xihlovo,,Treasure,Tsonga
Yimagana,,Be prosperous,Tsonga
Andzani,,Let them grow,Tsonga
Bulo,,Kindness,Tsonga
Dumisani,,Praise,Tsonga
Endzivuko,,Revival,Tsonga
Funeka,,Desire,Tsonga
Hlayiseka,,Be careful,Tsonga
Jabulile,,Joyful,Tsonga
Khensani,,Gratitude,Tsonga
Lindelani,,Be patient,Tsonga
Matswalo,,Compassion,Tsonga
Nghamulelo,,Forgiveness,Tsonga
Phindulo,,Response,Tsonga
Rhangani,,Unite,Tsonga
Simamisa,,Support,Tsonga
Thando,,Love,Tsonga
Vuyisile,,Joyful,Tsonga
Xilumani,,Harvest,Tsonga
Yandza,,Grow,Tsonga
Andzile,,Blessed,Tsonga
Buti,,Brother,Tsonga
Dzukani,,Awaken,Tsonga
Engetani,,Increase,Tsonga
Hlayisani,,Protect,Tsonga
Jabulani,,Rejoice,Tsonga
Khensile,,Gratitude,Tsonga
Langutani,,Observe,Tsonga
Masungulo,,Beginning,Tsonga
Ndzalama,,Treasure,Tsonga
Rhulani,,Peace,Tsonga
Saseka,,Beautiful,Tsonga
Thulani,,Be quiet,Tsonga
Vutivi,,Knowledge,Tsonga
Xikombiso,,Example,Tsonga
Yana,,Journey,Tsonga
Andzani,,Grow,Tsonga
Buko,,Honor,Tsonga
Dyondzani,,Learn,Tsonga
Endla,,Do,Tsonga
Hanyani,,Stay alive,Tsonga
Julani,,Rejoice,Tsonga
Khanyisa,,Illuminate,Tsonga
Mahlo,,Eyes,Tsonga
Nhlamulo,,Response,Tsonga
Phikani,,Stand firm,Tsonga
Rito,,Word,Tsonga
Siku,,Day,Tsonga
Tindzima,,Roles,Tsonga
Vutomi,,Life,Tsonga
Xikhaleni,,Cry,Tsonga
Andzile,,Let them grow,Tsonga
Byali,,Invite,Tsonga
Dzunisa,,Praise,Tsonga
Engetani,,Add,Tsonga
Hitekani,,Be productive,Tsonga
Jafeta,,Enlarged,Tsonga
Khanyisa,,Light up,Tsonga
Londzani,,Guard,Tsonga
Mavona,,Vision,Tsonga
Nkatsakanyo,,Agreement,Tsonga
Phikani,,Persist,Tsonga
Rindzani,,Wait,Tsonga
Siku,,Day,Tsonga
Thembi,,Trust,Tsonga
Vuyani,,Be joyful,Tsonga
Xivutiso,,Inquiry,Tsonga
Yangwa,,Be caught,Tsonga
Andzani,,Grow,Tsonga
Bulani,,Save,Tsonga
Dzunisani,,Celebrate,Tsonga
Enzani,,Do,Tsonga
Hlayisani,,Be safe,Tsonga
Julani,,Praise,Tsonga
Khensa,,Be thankful,Tsonga
Lindelani,,Be patient,Tsonga
Matimba,,Strength,Tsonga
Nghena,,Enter,Tsonga
Phumzani,,Rest,Tsonga
Rhula,,Peace,Tsonga
Sasekani,,Be happy,Tsonga
Thandeka,,Beloved,Tsonga
Vutomi,,Life,Tsonga
Abena,,We asked for her,Tswana
Amogelang,,Receive,Tswana
Babalwa,,Graceful,Tswana
Boikanyo,,Dependence,Tswana
Bontle,,Beauty,Tswana
Dikeledi,,Tears,Tswana
Esiankiki,,Salvation,Tswana
Fikile,,Arrived,Tswana
Gaone,,It is with him,Tswana
Hantle,,Well,Tswana
Itumeleng,,Joy,Tswana
Kagiso,,Peace,Tswana
Lebogang,,Be thankful,Tswana
Mpho,,Gift,Tswana
Naledi,,Star,Tswana
Otshepeng,,Be patient,Tswana
Palesa,,Flower,Tswana
Reitumetse,,We are pleased,Tswana
Thabo,,Happiness,Tswana
Tshepo,,Hope,Tswana
Amogelang,,Accept,Tswana
Bokamoso,,Future,Tswana
Botlhale,,Wisdom,Tswana
Ditiro,,Deeds,Tswana
Esiankiki,,Salvation,Tswana
Kgomotso,,Comfort,Tswana
Lesedi,,Light,Tswana
Masego,,Blessings,Tswana
Nthabiseng,,Make me happy,Tswana
Omphile,,He has given,Tswana
Phenyo,,Victory,Tswana
Rethabile,,We are happy,Tswana
Tebogo,,Gratitude,Tswana
Amogelang,,Accept,Tswana
Boikanyo,,Dependence,Tswana
Bonolo,,Soft,Tswana
Dipuo,,Words,Tswana
Gasego,,It is not a blessing,Tswana
Ithuteng,,Learn,Tswana
Kelebogile,,I am thankful,Tswana
Lethabo,,Joy,Tswana
Modisa,,Shepherd,Tswana
Ntswaki,,Companion,Tswana
Olebogeng,,Thank them,Tswana
Pono,,Vision,Tswana
Refilwe,,We are given,Tswana
Thabang,,Be happy,Tswana
Tshegofatso,,Blessing,Tswana
Amogelang,,Receive,Tswana
Baratiwa,,Loved,Tswana
Boineelo,,Commitment,Tswana
Botshelo,,Life,Tswana
Dineo,,Gifts,Tswana
Gaone,,It is with him,Tswana
Itshokeng,,Be patient,Tswana
Koketso,,Addition,Tswana
Lesedi,,Light,Tswana
Moagi,,Builder,Tswana
Naledi,,Star,Tswana
Ofentse,,He has conquered,Tswana
Reabetswe,,We are answered,Tswana
Thato,,Will,Tswana
Tshegofatso,,Blessing,Tswana
Abednigo,,Servant of light,Tswana
Amogelang,,Receive,Tswana
Barulaganyi,,Planner,Tswana
Batsile,,They have run,Tswana
Ditiro,,Deeds,Tswana
Goleba,,Grow,Tswana
Ipeleng,,Be happy,Tswana
Kananelo,,Appreciation,Tswana
Lesedi,,Light,Tswana
Mmabatho,,Mother of the people,Tswana
Neo,,Gift,Tswana
Oabona,,He has seen,Tswana
Refilwe,,We are given,Tswana
Thuto,,Learning,Tswana
Tumelo,,Faith,Tswana
Aobakwe,,Praise him,Tswana
Banzi,,Wide,Tswana
Boipelo,,Joy,Tswana
Boitumelo,,Joy,Tswana
Dimakatso,,Surprises,Tswana
Gaenelwe,,It is given,Tswana
Ipeleng,,Rejoice,Tswana
Kgomotso,,Comfort,Tswana
Lefika,,Rock,Tswana
Mpho,,Gift,Tswana
Nonofo,,They are here,Tswana
Olerato,,Love,Tswana
Rebaone,,We have seen,Tswana
Thapelo,,Prayer,Tswana
Tshegofatso,,Blessing,Tswana
Anaya,,God answers,Tswana
Boikanyo,,Dependence,Tswana
Boitshepo,,Self-confidence,Tswana
Diketso,,Actions,Tswana
Gatsha,,Cut,Tswana
Ipabalelo,,Remember,Tswana
Kgotla,,Court,Tswana
Lesego,,Good luck,Tswana
Mosadi,,Woman,Tswana
Omolemo,,What is good,Tswana
Ratshibanda,,Love,Tswana
Thabo,,Joy,Tswana
Tshiamo,,Righteousness,Tswana
Amogelang,,Receive,Tswana
Boikhutso,,Rest,Tswana
Bontle,,Beauty,Tswana
Diphetogo,,Changes,Tswana
Gasemotho,,Humanity,Tswana
Ipeleng,,Be pleased,Tswana
Keleabetswe,,I am answered,Tswana
Lefika,,Stone,Tswana
Mogomotsi,,Comforter,Tswana
Naledi,,Star,Tswana
Oatile,,He has arrived,Tswana
Refilwe,,We are given,Tswana
Thabiso,,Joy,Tswana
Tshegofatso,,Blessing,Tswana
Amogelang,,Receive,Tswana
Barulaganyi,,Planner,Tswana
Batswana,,Tswana people,Tswana
Dikeledi,,Tears,Tswana
Goleba,,Grow,Tswana
Ipolelo,,Declaration,Tswana
Kgosi,,Chief,Tswana
Letsatsi,,Sun,Tswana
Mmapula,,Mother of rain,Tswana
Ntando,,Will,Tswana
Obakeng,,Stand for them,Tswana
Refentse,,We are given,Tswana
Thabang,,Be happy,Tswana
Tshepo,,Hope,Tswana
Amogelang,,Receive,Tswana
Boikgantsho,,Pride,Tswana
Boitshoko,,Patience,Tswana
Dintle,,Beautiful,Tswana
Gontse,,It is enough,Tswana
Iman,,Faith,Tswana
Kabo,,Offering,Tswana
Lesedi,,Light,Tswana
Mmapelo,,Mother of the heart,Tswana
Nkanyezi,,Star,Tswana
Otsile,,He has come,Tswana
Resego,,Blessing,Tswana
Thuso,,Help,Tswana
Tumi,,Send,Tswana
آدم,Adam,"Man, Earth",Urdu
احمد,Ahmed,Highly Praised,Urdu
علی,Ali,"Noble, Sublime",Urdu
اریج,Areej,Fragrance,Urdu
آصف,Asif,Forgiveness,Urdu
بلال,Bilal,Moisture,Urdu
بشریٰ,Bushra,Good News,Urdu
دانش,Danish,"Knowledge, Wisdom",Urdu
درّہ,Durrah,Pearl,Urdu
فاطمہ,Fatimah,One who abstains,Urdu
فراز,Faraz,Elevation,Urdu
فرحان,Farhan,"Happy, Joyful",Urdu
حسن,Hasan,"Handsome, Good",Urdu
حرا,Hira,"Cave, Sacred Mountain",Urdu
حسنہ,Husna,"Beautiful, Virtuous",Urdu
ایمان,Iman,"Faith, Belief",Urdu
جاوید,Javed,Eternal,Urdu
کامل,Kamil,Perfect,Urdu
کنزا,Kaniza,Treasure,Urdu
کریم,Kareem,"Generous, Noble",Urdu
لائبہ,Laiba,Angel of Heaven,Urdu
مہدی,Mehdi,Rightly Guided,Urdu
مناہل,Manahil,Spring of Fresh Water,Urdu
نصیر,Naseer,"Helper, Supporter",Urdu
ندا,Nida,"Call, Voice",Urdu
نعیمہ,Naima,"Comfort, Ease",Urdu
نوشین,Nosheen,"Sweet, Pleasant",Urdu
نور,Noor,"Light, Radiance",Urdu
پرویز,Parvez,"Success, Victory",Urdu
پری,Pari,Fairy,Urdu
قاسم,Qasim,"Divider, Distributor",Urdu
راحت,Rahat,"Comfort, Peace",Urdu
رانیہ,Rania,"Queenly, Gazer",Urdu
ریحان,Rehan,"Sweet Basil, Fragrance",Urdu
رضوان,Rizwan,"Acceptance, Good Will",Urdu
سعد,Saad,"Happiness, Prosperity",Urdu
سارا,Sara,"Pure, Happy",Urdu
سحر,Sahar,"Dawn, Morning",Urdu
سلیمان,Suleman,"Peaceful, Safe",Urdu
شہرزاد,Sheherzade,"Noble Birth, Offspring",Urdu
شاذیہ,Shazia,"Rare, Uncommon",Urdu
صابرہ,Sabira,"Patient, Enduring",Urdu
صفیہ,Safia,"Pure, Best Friend",Urdu
طاہر,Tahir,"Pure, Clean",Urdu
طیبہ,Tayyiba,"Good, Pure",Urdu
عثمان,Usman,Baby Bustard,Urdu
وفا,Wafa,"Loyalty, Faithfulness",Urdu
وردہ,Wardah,Rose,Urdu
وقار,Waqar,"Dignity, Esteem",Urdu
یاسر,Yasir,"Wealthy, Easy",Urdu
زبیر,Zubair,"Strong, Courageous",Urdu
زرینہ,Zareena,"Golden, Wealthy",Urdu
زین,Zain,"Beauty, Ornament",Urdu
زینب,Zainab,Fragrant Flower,Urdu
عالیہ,Aaliya,"Exalted, High",Urdu
عبید,Obaid,Worshipper,Urdu
عدنان,Adnan,"Settler, Paradise",Urdu
افشاں,Afshan,"Glitter, Shine",Urdu
الفت,Ulfat,"Love, Affection",Urdu
انور,Anwar,"Rays of Light, Luminous",Urdu
انیسہ,Aneesa,"Friendly, Companion",Urdu
ایمن,Aiman,"Blessed, Protected",Urdu
بنیش,Baneesh,"Clever, Intelligent",Urdu
بہرام,Bahram,Victory Over Resistance,Urdu
بدر,Badar,Full Moon,Urdu
بیتال,Betal,"Enchantment, Magic",Urdu
درویش,Darvesh,"Ascetic, Hermit",Urdu
دانیال,Daniyal,"Intelligent, Charitable",Urdu
دعا,Duaa,"Prayer, Supplication",Urdu
فہیم,Faheem,"Intelligent, Understanding",Urdu
فائق,Faiq,"Superior, Excellent",Urdu
فرید,Fareed,"Unique, Matchless",Urdu
فضیل,Fazil,"Superior, Virtuous",Urdu
ہادیہ,Hadiya,"Guide, Leader",Urdu
ہاجرہ,Hajra,Immigrant,Urdu
حمید,Hameed,Praiseworthy,Urdu
حسان,Hassan,"Handsome, Good",Urdu
حورین,Hoorain,"Beautiful Eyes, Angels",Urdu
حمیرا,Humaira,"Red, Reddish",Urdu
حسیب,Haseeb,"Respected, Esteemed",Urdu
جلال,Jalal,"Majesty, Glory",Urdu
جلیل,Jaleel,"Great, Revered",Urdu
کاشف,Kashif,"Discoverer, Pioneer",Urdu
کمال,Kamal,"Perfection, Excellence",Urdu
کلیم,Kaleem,"Speaker, Talker",Urdu
لبنیٰ,Lubna,"Elegant, Delicate",Urdu
لاریب,Lareeb,Without Doubt,Urdu
مبشرہ,Mubashra,Bringer of Good News,Urdu
مبینہ,Mubeena,"Clear, Distinct",Urdu
مجید,Majeed,"Glorious, Noble",Urdu
مدیحہ,Madiha,"Praised, Commended",Urdu
منیبہ,Muneeba,Repentant,Urdu
منظور,Manzoor,"Acceptable, Approved",Urdu
معصوم,Masoom,"Innocent, Sinless",Urdu
نبیل,Nabeel,"Noble, Generous",Urdu
ناصر,Nasir,"Helper, Protector",Urdu
نعیم,Naeem,"Comfort, Ease",Urdu
نفیس,Nafees,"Precious, Delicate",Urdu
نشاط,Nishat,"Happiness, Liveliness",Urdu
نسیم,Naseem,"Breeze, Soft Wind",Urdu
نصر,Nasr,"Victory, Triumph",Urdu
نجمہ,Najma,Star,Urdu
نصرت,Nusrat,"Help, Victory",Urdu
نورین,Noorain,Two Lights,Urdu
وقاص,Waqas,Warrior,Urdu
وجیہ,Wajeeh,"Distinguished, Eminent",Urdu
ولید,Waleed,Newborn,Urdu
ولی,Wali,"Protector, Guardian",Urdu
یامین,Yameen,"Blessed, Fortunate",Urdu
یوسف,Yousuf,"God Will Add, Increase",Urdu
زبیر,Zubair,"Strong, Courageous",Urdu
زرینہ,Zareena,"Golden, Wealthy",Urdu
زین,Zain,"Beauty, Ornament",Urdu
زینب,Zainab,Fragrant Flower,Urdu
عالیہ,Aaliya,"Exalted, High",Urdu
عبید,Obaid,Worshipper,Urdu
عدنان,Adnan,"Settler, Paradise",Urdu
افشاں,Afshan,"Glitter, Shine",Urdu
الفت,Ulfat,"Love, Affection",Urdu
انور,Anwar,"Rays of Light, Luminous",Urdu
انیسہ,Aneesa,"Friendly, Companion",Urdu
ایمن,Aiman,"Blessed, Protected",Urdu
بینا,Bina,Clear Sighted,Urdu
بابر,Babar,"Lion, Brave",Urdu
بسمہ,Bismah,"Smile, Grin",Urdu
درخشاں,Darakshan,"Bright, Luminous",Urdu
دلشاد,Dilshad,Happy Hearted,Urdu
دردانہ,Durdana,Pearl,Urdu
دلریز,Dilraaz,Beloved,Urdu
دانش,Danish,"Knowledge, Wisdom",Urdu
Азиз,Aziz,"Dear, Beloved",Uzbek
Акмал,Akmal,"Perfect, Complete",Uzbek
Аслиддин,Asliddin,Pure Faith,Uzbek
Барно,Barno,"Sweet, Innocent",Uzbek
Бахтиёр,Baxtiyor,"Happy, Prosperous",Uzbek
Билол,Bilol,Moisture,Uzbek
Ботир,Botir,"Brave, Heroic",Uzbek
Бехруз,Bekhruz,Best Day,Uzbek
Дилором,Dilorum,Heart's Joy,Uzbek
Дониёр,Doniyor,"Charitable, Generous",Uzbek
Дилшод,Dilshod,Happy Heart,Uzbek
Диёра,Diyora,Beloved Land,Uzbek
Эльёр,Elor,Helping People,Uzbek
Эркин,Erkin,"Free, Independent",Uzbek
Фарҳод,Farhod,"Happiness, Joy",Uzbek
